ACC_RANDOM,SATXN_ENTRY_DATE,SATXN_BR_CODE,SATXN_BUSI_DATE,SATXN_TXN_TIME,SATXN_MEMO_CODE,SATXN_TXN_MEMO,SATXN_DB_CR_STAT,SATXN_TXN_AMT,SATXN_SAM_BAL,SATXN_TXN_STAT,SATXN_PB_STATUS,ID_RANDOM,SATXN_BUSI_CODE,SATXN_CASH_AMT,SATXN_BANK_NO
"1,584,352",2023/5/17 0:00,37,2023/5/17 0:00,123008,1,____  ,2,"94,779.00","4,932,502.00",0,0,"1,304,957",SA01,"94,779.00",   
"1,584,352",2023/5/17 0:00,37,2023/5/17 0:00,133046,1417,____  ,2,"1,440.00","4,933,942.00",0,0,"1,304,957",AT01,0,822
"1,584,352",2023/5/17 0:00,37,2023/5/17 0:00,173231,1417,____  ,2,"2,000.00","4,935,942.00",0,0,"1,304,957",AT01,0,13
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,10608,89,___    ,2,"25,475.00","4,309,954.00",0,0,"1,304,957",SA01,0,   
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,122951,1005,__      ,2,"230,000.00","4,539,954.00",0,0,"1,304,957",SA01,0,   
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,123335,1,____  ,2,"159,680.00","4,699,634.00",0,0,"1,304,957",SA01,"159,680.00",   
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,160526,1222,____  ,1,"27,441.00","4,719,429.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,174059,236,____  ,1,"64,600.00","4,571,011.00",0,0,"1,304,957",NB01,0,103
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,130404,71,____  ,2,"52,717.00","4,752,351.00",0,0,"1,304,957",RT01,0,6
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,160526,1222,____  ,1,"83,818.00","4,635,611.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,160526,1222,____  ,1,"5,481.00","4,746,870.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,182441,1417,____  ,2,"117,330.00","4,688,341.00",0,0,"1,304,957",AT01,0,9
"1,584,352",2023/5/16 0:00,37,2023/5/16 0:00,210739,1417,____  ,2,"20,147.00","4,708,488.00",0,0,"1,304,957",AT01,0,13
"446,563",2023/5/25 0:00,37,2023/5/25 0:00,14655,1057,____  ,1,"38,404.00","26,475.00",0,0,"2,057,116",LN01,0,   
"446,563",2023/5/25 0:00,37,2023/5/25 0:00,14654,1057,____  ,1,"22,531.00","64,879.00",0,0,"2,057,116",LN01,0,   
"2,036,682",2023/5/15 0:00,1030,2023/5/15 0:00,2152,23,____  ,2,"1,590.00","333,058.00",0,0,"452,966",TI01,0,   
"2,036,682",2023/5/15 0:00,1030,2023/5/15 0:00,2153,23,____  ,2,"1,723.00","334,781.00",0,0,"452,966",TI01,0,   
"68,409",2023/5/30 0:00,1067,2023/5/30 0:00,13626,1057,____  ,1,"18,957.00","144,794.00",0,0,"548,443",LN01,0,   
"68,409",2023/5/30 0:00,1067,2023/5/30 0:00,13626,1057,____  ,1,"43,988.00","163,751.00",0,0,"548,443",LN01,0,   
"68,409",2023/5/19 0:00,1067,2023/5/19 0:00,2110,239,____  ,1,"70,015.00","182,769.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/19 0:00,1067,2023/5/19 0:00,1612,177,____  ,2,"104,056.00","116,840.00",0,0,"548,443",    ,0,803
"68,409",2023/5/19 0:00,1067,2023/5/19 0:00,1613,177,____  ,2,"135,944.00","252,784.00",0,0,"548,443",    ,0,803
"68,409",2023/5/19 0:00,1067,2023/5/19 0:00,2124,239,____  ,1,"125,015.00","57,754.00",0,0,"548,443",NB01,0,5
"68,409",2023/5/18 0:00,1067,2023/5/18 0:00,32044,1417,____  ,2,"150,000.00","157,814.00",0,0,"548,443",AT01,0,822
"68,409",2023/5/18 0:00,1067,2023/5/18 0:00,32109,239,____  ,1,"150,015.00","7,799.00",0,0,"548,443",NB01,0,822
