ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
1831497,1,F,71,060000,DD,02,926  ,926  ,3, ,2022-04-08 00:00:00.0000000,2022-04-26 00:00:00.0000000,1,0,0615A0
1831497,1,F,71,060000,DD,02,926  ,926  ,3, ,2022-04-08 00:00:00.0000000,2022-04-26 00:00:00.0000000,1,0,0615A0
2256,1,F,20,060000,DD,05,913  ,913  ,3,0,2023-04-26 00:00:00.0000000,2023-04-28 00:00:00.0000000,1,0,0615G0
2256,1,F,20,060000,DD,05,913  ,913  ,3,0,2023-04-26 00:00:00.0000000,2023-04-28 00:00:00.0000000,1,0,0615G0
8409,1,M,42,060000,CC,05,221  ,221  ,3,0,2017-12-11 00:00:00.0000000,2022-09-03 00:00:00.0000000,1,0,0615I0
2555,1,M,57,060000,DD,01,338  ,338  ,3,0,2015-03-26 00:00:00.0000000,2019-03-11 00:00:00.0000000,0,0,0615G0
1351,1,M,52,060000,DD,05,904  ,904  ,3,0,2020-05-11 00:00:00.0000000,2020-06-08 00:00:00.0000000,1,0,061620
1723,1,F,69,060000,DD,05,320  ,320  ,0,0,2012-07-23 00:00:00.0000000,2015-10-12 00:00:00.0000000,0,0,0615F0
6876,1,M,40,0615H0,DD,05,206  ,206  ,3,0,2010-09-29 00:00:00.0000000,2020-11-18 00:00:00.0000000,1,0,0615H0
7840,1,M,34,060000,DD,05,248  ,248  ,3,0,2022-02-09 00:00:00.0000000,2022-02-11 00:00:00.0000000,1,0,061500
7840,1,M,34,060000,DD,05,248  ,248  ,3,0,2022-02-09 00:00:00.0000000,2022-02-11 00:00:00.0000000,1,0,061500
777342,1,F,39,060000,DD,05,350  ,350  ,3,0,2022-10-13 00:00:00.0000000,2022-11-15 00:00:00.0000000,1,0,061200
777342,1,F,39,060000,DD,05,350  ,350  ,3,0,2022-10-13 00:00:00.0000000,2022-11-15 00:00:00.0000000,1,0,061200
